Coefficients,Binary
-10.486270,1111111111110110
-2.781801,1111111111111101
11.901707,0000000000001011
16.181751,0000000000010000
1.408846,0000000000000001
-17.411473,1111111111101111
-13.510360,1111111111110010
18.694725,0000000000010010
34.078720,0000000000100010
10.978370,0000000000001010
-67.989292,1111111110111100
-144.865510,1111111101101111
-104.534978,1111111110010111
144.427274,0000000010010000
572.297896,0000001000111100
999.785131,0000001111100111
1197.274459,0000010010101101
997.667998,0000001111100101
495.281133,0000000111101111
-12.804380,1111111111110011
-211.534184,1111111100101100
15.564711,0000000000001111
509.911006,0000000111111101
960.508482,0000001111000000
1134.902749,0000010001101110
973.204476,0000001111001101
630.577686,0000001001110110
286.392281,0000000100011110
1.739475,0000000000000001
-286.424716,1111111011100010
-638.802646,1111110110000001
-989.074123,1111110000100011
-1143.282600,1111101110001001
-973.757737,1111110000110010
-532.183058,1111110111101100
-36.426155,1111111111011100
210.125338,0000000011010010
34.895545,0000000000100010
-471.400427,1111111000101001
-1000.331668,1111110000011000
-1233.289649,1111101100101111
-1000.412372,1111110000011000
-472.473120,1111111000101000
32.571916,0000000000100000
208.385863,0000000011010000
-34.070091,1111111111011110
-522.885405,1111110111110101
-957.807385,1111110001000010
-1103.783838,1111101110110000
-967.650338,1111110000111000
-652.922629,1111110101110011
-315.907644,1111111011000100
-2.772026,1111111111111101
318.327229,0000000100111110
656.087794,0000001010010000
936.340285,0000001110101000
1058.037941,0000010000100010
936.385369,0000001110101000
655.894905,0000001010001111
318.064974,0000000100111110
-2.794859,1111111111111101
-315.625459,1111111011000100
-652.703669,1111110101110011
-967.953320,1111110000111000
-1125.475880,1111101110011011
-963.593265,1111110000111100
-497.790339,1111111000001110
0.899224,0000000000000000
212.920197,0000000011010100
-4.869348,1111111111111011
-508.984382,1111111000000011
-978.928188,1111110000101101
-1142.223199,1111101110001010
-983.288243,1111110000101001
-663.897712,1111110101101000
-321.394031,1111111010111111
-2.794859,1111111111111101
323.833545,0000000101000011
667.088948,0000001010011011
951.720292,0000001110110111
1075.125159,0000010000110011
951.765377,0000001110110111
666.896059,0000001010011010
323.571291,0000000101000011
-2.817692,1111111111111101
-321.111846,1111111010111111
-663.678752,1111110101101000
-983.591225,1111110000101000
-1143.112651,1111101110001001
-979.195550,1111110000101101
-507.499840,1111111000000101
-2.001279,1111111111111110
214.659672,0000000011010110
-2.001279,1111111111111110
-507.499840,1111111000000101
-979.195550,1111110000101101
-1143.112651,1111101110001001
-983.591225,1111110000101000
-663.678752,1111110101101000
-321.111846,1111111010111111
-2.817692,1111111111111101
323.571291,0000000101000011
666.896059,0000001010011010
951.765377,0000001110110111
1075.295108,0000010000110011
951.765377,0000001110110111
666.896059,0000001010011010
323.571291,0000000101000011
-2.817692,1111111111111101
-321.111846,1111111010111111
-663.678752,1111110101101000
-983.591225,1111110000101000
-1122.140111,1111101110011110
-973.631948,1111110000110010
-531.303253,1111110111101101
-34.364780,1111111111011110
211.841981,0000000011010011
32.821666,0000000000100000
-480.479120,1111111000100000
-1016.585001,1111110000000111
-1232.072682,1111101100110000
-1011.066483,1111110000001101
-504.089644,1111111000001000
0.720420,0000000000000000
209.047122,0000000011010001
0.175981,0000000000000000
-504.501493,1111111000000111
-1010.718417,1111110000001101
-1231.013281,1111101100110001
-1016.317639,1111110000001000
-481.963661,1111111000011110
29.953598,0000000000011101
210.102505,0000000011010010
-31.464277,1111111111100001
-521.593752,1111110111110110
-958.029663,1111110001000010
-1104.333391,1111101110110000
-967.908236,1111110000111000
-652.896558,1111110101110011
-315.887714,1111111011000100
-2.817692,1111111111111101
318.347158,0000000100111110
656.113865,0000001010010000
936.082387,0000001110101000
1036.515849,0000010000001100
930.599489,0000001110100010
680.989971,0000001010101000
353.034289,0000000101100001
1.739475,0000000000000001
-353.066723,1111111010011111
-689.214931,1111110101001111
-946.469137,1111110001001110
-1055.212020,1111101111100001
-952.068359,1111110001001000
-666.677099,1111110101100101
-323.289106,1111111010111101
2.794859,0000000000000010
320.849591,0000000101000000
663.485863,0000001010010111
983.636310,0000001111010111
1143.282600,0000010001110111
979.195550,0000001111010011
507.499840,0000000111111011
2.001279,0000000000000010
-214.659672,1111111100101001
2.001279,0000000000000010
507.499840,0000000111111011
979.195550,0000001111010011
1143.112651,0000010001110111
983.591225,0000001111010111
663.678752,0000001010010111
321.111846,0000000101000001
2.817692,0000000000000010
-323.571291,1111111010111100
-666.896059,1111110101100101
-951.765377,1111110001001000
-1075.295108,1111101111001101
-951.765377,1111110001001000
-666.896059,1111110101100101
-323.571291,1111111010111100
2.817692,0000000000000010
321.111846,0000000101000001
663.678752,0000001010010111
983.591225,0000001111010111
1142.942702,0000010001110110
979.150466,0000001111010011
507.692729,0000000111111011
2.263534,0000000000000010
-214.636840,1111111100101001
1.719095,0000000000000001
507.280880,0000000111111011
979.498532,0000001111010011
1144.002102,0000010001111000
983.858588,0000001111010111
662.194210,0000001010010110
318.243777,0000000100111110
1.078216,0000000000000001
-320.670788,1111111010111111
-657.186558,1111110101101111
-936.163091,1111110001011000
-1036.515849,1111101111110011
-930.518785,1111110001011101
-679.917278,1111110101011000
-350.710660,1111111010100001
-0.000000,0000000000000000
350.710660,0000000101011110
679.917278,0000001010100111
930.518785,0000001110100010
1015.543309,0000001111110111
930.599489,0000001110100010
680.989971,0000001010101000
353.034289,0000000101100001
1.739475,0000000000000001
-353.066723,1111111010011111
-689.214931,1111110101001111
-946.469137,1111110001001110
-1055.212020,1111101111100001
-952.068359,1111110001001000
-666.677099,1111110101100101
-323.289106,1111111010111101
2.794859,0000000000000010
320.849591,0000000101000000
663.485863,0000001010010111
983.636310,0000001111010111
1122.310061,0000010001100010
973.631948,0000001111001101
531.303253,0000001000010011
34.364780,0000000000100010
-211.841981,1111111100101100
-32.821666,1111111111011111
480.479120,0000000111100000
1016.585001,0000001111111000
1232.072682,0000010011010000
1011.066483,0000001111110011
504.089644,0000000111111000
-0.720420,1111111111111111
-209.047122,1111111100101111
-0.175981,0000000000000000
504.501493,0000000111111000
1010.718417,0000001111110010
1210.380640,0000010010111010
1010.844205,0000001111110010
505.381297,0000000111111001
1.885394,0000000000000001
-207.330480,1111111100110001
-2.794299,1111111111111101
495.010952,0000000111101111
994.813150,0000001111100010
1212.487059,0000010010111100
1000.412372,0000001111101000
472.473120,0000000111011000
-32.571916,1111111111011111
-208.385863,1111111100110000
34.070091,0000000000100010
522.885405,0000001000001010
957.807385,0000001110111101
1124.416479,0000010001100100
973.123772,0000001111001101
629.504993,0000001001110101
284.068652,0000000100011100
-0.000000,0000000000000000
-284.068652,1111111011100100
-629.504993,1111110110001010
-973.123772,1111110000110011
-1124.416479,1111101110011100
-957.807385,1111110001000010
-522.885405,1111110111110101
-34.070091,1111111111011110
208.385863,0000000011010000
32.571916,0000000000100000
-472.473120,1111111000101000
-1000.412372,1111110000011000
-1212.657008,1111101101000011
-994.858234,1111110000011101
-494.818063,1111111000010001
3.056554,0000000000000011
207.353313,0000000011001111
-2.167578,1111111111111110
-505.600257,1111111000000110
-1010.541223,1111110000001101
-1230.463728,1111101100110010
-1016.014657,1111110000001000
-482.182621,1111111000011110
29.671413,0000000000011101
210.125338,0000000011010010
-31.202022,1111111111100001
-521.400863,1111110111110111
-958.074747,1111110001000010
-1125.475880,1111101110011011
-973.471838,1111110000110011
-629.093145,1111110110001011
-283.524213,1111111011100100
0.000000,0000000000000000
283.524213,0000000100011011
629.093145,0000001001110101
973.471838,0000001111001101
1125.475880,0000010001100101
958.074747,0000001110111110
521.400863,0000001000001001
31.202022,0000000000011111
-210.125338,1111111100101110
-29.671413,1111111111100010
482.182621,0000000111100010
1016.014657,0000001111111000
1251.096369,0000010011100011
1016.014657,0000001111111000
482.182621,0000000111100010
-29.671413,1111111111100010
-210.125338,1111111100101110
31.202022,0000000000011111
521.400863,0000001000001001
958.074747,0000001110111110
1125.475880,0000010001100101
973.471838,0000001111001101
629.093145,0000001001110101
283.524213,0000000100011011
-0.000000,0000000000000000
-283.524213,1111111011100100
-629.093145,1111110110001011
-973.471838,1111110000110011
-1125.475880,1111101110011011
-958.074747,1111110001000010
-521.400863,1111110111110111
-31.202022,1111111111100001
210.125338,0000000011010010
29.671413,0000000000011101
-482.182621,1111111000011110
-1016.014657,1111110000001000
-1230.463728,1111101100110010
-1010.541223,1111110000001101
-505.600257,1111111000000110
-2.167578,1111111111111110
207.353313,0000000011001111
3.056554,0000000000000011
-494.818063,1111111000010001
-994.858234,1111110000011101
-1212.826957,1111101101000011
-1000.457456,1111110000011000
-472.280231,1111111000101000
32.834171,0000000000100000
208.408696,0000000011010000
-34.352276,1111111111011110
-523.104365,1111110111110101
-957.504403,1111110001000010
-1102.894386,1111101110110001
-967.382976,1111110000111001
-654.407171,1111110101110010
-318.775712,1111111011000001
-4.511501,1111111111111011
321.227732,0000000101000001
665.797295,0000001010011001
951.942570,0000001110110111
1054.872122,0000010000011110
946.504757,0000001110110010
690.480512,0000001010110010
355.652607,0000000101100011
0.022833,0000000000000000
-355.672537,1111111010011100
-690.506584,1111110101001101
-946.246859,1111110001001110
-1054.322569,1111101111100010
-951.720292,1111110001001000
-667.088948,1111110101100101
-323.833545,1111111010111100
2.794859,0000000000000010
321.394031,0000000101000001
663.897712,0000001010010111
983.288243,0000001111010111
1121.420609,0000010001100001
973.409670,0000001111001101
532.594906,0000001000010100
36.970594,0000000000100100
-210.125338,1111111100101110
-35.439985,1111111111011101
470.988578,0000000111010110
1000.679734,0000001111101000
1213.546459,0000010010111101
995.161216,0000001111100011
494.599103,0000000111101110
-3.338739,1111111111111101
-207.330480,1111111100110001
2.429833,0000000000000010
505.793146,0000000111111001
1010.496139,0000001111110010
1209.491189,0000010010111001
1010.496139,0000001111110010
505.793146,0000000111111001
2.429833,0000000000000010
-207.330480,1111111100110001
-3.338739,1111111111111101
494.599103,0000000111101110
995.161216,0000001111100011
1213.546459,0000010010111101
1000.679734,0000001111101000
470.988578,0000000111010110
-35.439985,1111111111011101
-210.125338,1111111100101110
36.970594,0000000000100100
532.594906,0000001000010100
973.409670,0000001111001101
1142.393148,0000010001110110
988.851845,0000001111011100
640.094299,0000001010000000
289.030530,0000000100100001
-0.022833,0000000000000000
-289.010600,1111111011011111
-640.068228,1111110110000000
-989.109743,1111110000100011
-1143.112651,1111101110001001
-973.677032,1111110000110010
-531.110365,1111110111101101
-34.102525,1111111111011110
211.864814,0000000011010011
32.539482,0000000000100000
-480.698080,1111111000011111
-1016.282019,1111110000001000
-1231.353180,1111101100110001
-1010.844205,1111110000001101
-505.381297,1111111000000111
-1.885394,1111111111111110
207.330480,0000000011001111
2.794299,0000000000000010
-495.010952,1111111000010001
-994.813150,1111110000011101
-1212.657008,1111101101000011
-1000.457456,1111110000011000
-472.280231,1111111000101000
32.834171,0000000000100000
208.408696,0000000011010000
-34.352276,1111111111011110
-523.104365,1111110111110101
-957.504403,1111110001000010
-1123.696977,1111101110011100
-972.901494,1111110000110011
-630.796646,1111110110001001
-286.674466,1111111011100001
-1.716643,1111111111111110
286.686971,0000000100011110
638.995535,0000001001111110
989.029039,0000001111011101
1163.745292,0000010010001011
979.231170,0000001111010011
508.765422,0000000111111100
4.587163,0000000000000100
-212.897364,1111111100101011
-0.636969,1111111111111111
497.983228,0000000111110001
963.548181,0000001111000011
1125.305931,0000010001100101
967.953320,0000001111000111
652.703669,0000001010001100
315.625459,0000000100111011
2.794859,0000000000000010
-318.064974,1111111011000010
-655.894905,1111110101110000
-936.385369,1111110001011000
-1037.235351,1111101111110011
-930.821767,1111110001011101
-679.698318,1111110101011000
-350.428475,1111111010100010
-0.022833,0000000000000000
350.448405,0000000101011110
679.724389,0000001010100111
930.563869,0000001110100010
1036.515849,0000010000001100
936.118007,0000001110101000
657.379447,0000001010010001
320.933042,0000000101000000
-1.055383,1111111111111111
-318.525962,1111111011000001
-662.413170,1111110101101010
-983.555605,1111110000101000
-1122.310061,1111101110011110
-973.712652,1111110000110010
-532.375946,1111110111101100
-36.688409,1111111111011011
210.102505,0000000011010010
35.177730,0000000000100011
-471.181467,1111111000101001
-1000.634650,1111110000010111
-1213.206561,1111101101000011
-995.116132,1111110000011101
-494.791992,1111111000010001
3.076484,0000000000000011
207.307647,0000000011001111
-2.147648,1111111111111110
-505.574186,1111111000000110
-1010.799121,1111110000001101
-1231.013281,1111101100110001
-1016.236935,1111110000001000
-480.890968,1111111000011111
32.277227,0000000000100000
211.841981,0000000011010011
-33.820341,1111111111011110
-530.891405,1111110111101101
-973.980015,1111110000110010
-1123.199512,1111101110011101
-983.858588,1111110000101000
-662.194210,1111110101101010
-318.243777,1111111011000010
-1.078216,1111111111111111
320.670788,0000000101000000
657.186558,0000001010010001
936.163091,0000001110101000
1036.685798,0000010000001100
930.563869,0000001110100010
679.724389,0000001010100111
350.448405,0000000101011110
-0.022833,0000000000000000
-350.428475,1111111010100010
-679.698318,1111110101011000
-930.821767,1111110001011101
-1037.065402,1111101111110011
-936.340285,1111110001011000
-656.087794,1111110101110000
-318.327229,1111111011000010
2.772026,0000000000000010
315.907644,0000000100111011
652.922629,0000001010001100
967.650338,0000001111000111
1103.953787,0000010001001111
957.852469,0000001110111101
522.692516,0000001000001010
33.807836,0000000000100001
-208.408696,1111111100110000
-32.289732,1111111111100000
472.692080,0000000111011000
1000.109390,0000001111101000
1232.740096,0000010011010000
1000.154474,0000001111101000
472.499191,0000000111011000
-32.551986,1111111111011111
-208.431529,1111111100110000
34.090021,0000000000100010
522.911476,0000001000001010
957.549487,0000001110111101
1124.036875,0000010001100100
972.946578,0000001111001100
630.603758,0000001001110110
286.412211,0000000100011110
1.693810,0000000000000001
-286.404786,1111111011100010
-638.776575,1111110110000001
-989.332021,1111110000100011
-1164.464795,1111101101110100
-979.453448,1111110000101101
-507.473769,1111111000000101
-1.981349,1111111111111110
214.614007,0000000011010110
-1.981349,1111111111111110
-507.473769,1111111000000101
-979.453448,1111110000101101
-1164.464795,1111101101110100
-989.332021,1111110000100011
-638.776575,1111110110000001
-286.404786,1111111011100010
1.693810,0000000000000001
286.412211,0000000100011110
630.603758,0000001001110110
972.946578,0000001111001100
1124.036875,0000010001100100
957.549487,0000001110111101
522.911476,0000001000001010
34.090021,0000000000100010
-208.431529,1111111100110000
-32.551986,1111111111011111
472.499191,0000000111011000
1000.154474,0000001111101000
1211.937505,0000010010111011
994.590872,0000001111100010
496.302605,0000000111110000
-0.188485,0000000000000000
-205.613837,1111111100110010
-0.732925,1111111111111111
495.890756,0000000111101111
994.938938,0000001111100010
1191.854418,0000010010100111
994.813150,0000001111100010
495.010952,0000000111101111
-2.794299,1111111111111101
-207.330480,1111111100110001
1.885394,0000000000000001
505.381297,0000000111111001
1010.844205,0000001111110010
1231.353180,0000010011001111
1016.282019,0000001111111000
480.698080,0000000111100000
-32.539482,1111111111011111
-211.864814,1111111100101100
34.102525,0000000000100010
531.110365,0000001000010011
973.677032,0000001111001101
1122.480010,0000010001100010
983.636310,0000001111010111
663.485863,0000001010010111
320.849591,0000000101000000
2.794859,0000000000000010
-323.289106,1111111010111101
-666.677099,1111110101100101
-952.068359,1111110001001000
-1055.212020,1111101111100001
-946.469137,1111110001001110
-689.214931,1111110101001111
-353.066723,1111111010011111
1.739475,0000000000000001
353.034289,0000000101100001
680.989971,0000001010101000
930.599489,0000001110100010
1015.543309,0000001111110111
930.518785,0000001110100010
679.917278,0000001010100111
350.710660,0000000101011110
0.000000,0000000000000000
-350.710660,1111111010100001
-679.917278,1111110101011000
